code,code_name,ipoDate,outDate,type,status,year,provider
600519,贵州茅台,2001-08-27,,1,1,2026,baostock
000001,平安银行,1991-04-03,,1,1,2026,baostock
300750,宁德时代,2018-06-11,,1,1,2026,baostock
